"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-15,-15.5,0.10874995043228,108749.95043228,1685624.2317003,0,0,0,0.0064,0.0005,0.0001,0.56161576707174,0.056161218931287,0.0089830648445113,0,0,0,1.0268921977119,0.15426257637452,0.022221518230865,0.025256276149168,0.073253624768403,0.020278317487414,14.605465817037,8.10536,0,0.0008,0.22274974177937,0,166.36592446769,0.10415007157363,0.037318333008298
-12,-12.5,0.14753090553629,147530.90553629,1844136.3192036,0,0,0,0.0082283633566872,0.0007,0.0002,0.78314186589745,0.077696339713496,0.012506582811483,0.16918070795595,0.032707525676169,0.0051029485970379,1.0637425642796,0.16340653430987,0.022595450273721,0.026817908032707,0.067377604827894,0.0168239676827,33.637356362366,8.1252857142857,0,0.00442753969007,1.2960738635704,1.6912237329433,149.94033516963,0.076104724067764,0.024211184910038
-11.5,-12,0.034047749407856,34047.749407856,408572.99289428,0,0,0,0.0083,0.0007,0.0002,0.81222114460417,0.080580610817826,0.012942014246903,0.17386056842592,0.033825662137564,0.0052705395833104,1.0395929693746,0.16775882985311,0.022276936374129,0.026692907880322,0.066372326850149,0.016615971506194,33.996180978575,8.09185,0,0.0044860145703646,1.4258078347864,1.8231760885323,147.80789833526,0.078168495548755,0.025808523719099
-9,-9.5,0.026919012665666,26919.012665666,255730.62032382,0.0591,0.0041,0.0006,0.0184,0.0015,0.0003,1.1815,0.1163,0.0188,0.5356,0.0824,0.016,1.1374,0.1662,0.0225,0.0294,0.0669,0.0156,60.40516924209,8.0887,0.0738,0.0183,3.853,7.7068,137.5263,0.0709,0.0211
-8.5,-9,0.18286217003094,182862.17003094,1645759.5302784,0.12146723729798,0.0085149440283425,0.0011997611195694,0.10348140818068,0.0085653118116028,0.0019709047588192,1.6354832659283,0.16048017750404,0.026017325230052,0.57512343534606,0.081937511628166,0.017242912321742,1.0908802017613,0.16663330463743,0.022517266699667,0.028229877098519,0.065150695315407,0.015358311971554,75.944423960456,8.1402,0.15912563069639,0.12041467663887,6.3189742592516,10.482632962933,126.21322834354,0.06826894869733,0.020767866135738
-8,-8.5,0.046268263163333,46268.263163333,393280.23688833,0.12511279926169,0.0087861042810395,0.001229279703608,0.015396362031602,0.0012795132444716,0.0003,1.7959151877903,0.17531801514605,0.028659147054065,0.58965302531049,0.079141999747009,0.017666507145274,1.0785456363009,0.17254030295937,0.022087653237937,0.028090816292536,0.063858745280103,0.014759609503735,78.933508401242,8.16965,0.1633425742218,0.018503367774134,7.0136600714268,11.368657791511,125.30216477254,0.067209344184221,0.019919219007471
-6,-6.5,0.010630230374075,10630.230374075,69096.497431489,0.4461,0.0312,0.0045,0.0546,0.0045,0.001,4.312,0.4155,0.0688,1.396,0.2786,0.0387,1.1779,0.166,0.0225,0.0314,0.0663,0.0147,124.64587932303,8.0808,0.4762,0.083,19.604,21.5039,111.2198,0.0668,0.0188
-5.5,-6,0.045932242220382,45932.242220382,275593.45332229,0.67781277443326,0.047390418065023,0.0067617455635351,0.29556581160187,0.024495584289631,0.0056193353148229,6.3007251417926,0.60577176336559,0.10030542036512,1.78462152516,0.356999668736,0.04885947835594,1.1791786207855,0.16525165610508,0.022321623196328,0.031551724060913,0.06581018654637,0.014598554487067,145.000505985,8.1242666666667,0.70394308921354,0.47204052586192,28.962481281587,25.240807422267,102.66081046911,0.066330989281559,0.018507920572297
-5,-5.5,0.061884417253984,61884.417253984,340364.29489691,0.67026135152522,0.0469281578896,0.0066656782405606,0.59988143788443,0.049758767949502,0.011311457743202,7.1155079499755,0.6772417544259,0.11294255102513,2.149378845187,0.4315715140898,0.059254530632607,1.1380478030963,0.16315644812831,0.021660035779387,0.032228891266068,0.063247311483682,0.014569321829869,180.60125151582,8.245775,0.79159326425212,1.0333442262368,34.743444479563,31.04116757354,76.899305170128,0.061527349040659,0.017596034088387
-4.5,-5,0.52636085122448,526360.85122448,2631804.2561224,0.67917460060524,0.047522085593828,0.006748661400131,0.53365031079271,0.044265025981172,0.01008501819305,7.4248784327834,0.70591351578784,0.11802868708452,2.317525127603,0.46501558924651,0.065726989705443,1.110183441496,0.16610934635384,0.021459865870147,0.030659106520276,0.062125514049186,0.014497474964719,194.93169929233,8.2833733333333,0.80878403348104,0.95522089022028,36.918745988492,33.348817969695,70.136025845361,0.05980881454228,0.017512115518594
