"upper","lower","_COL3","Sum_area_m2_","Sum_volume_m3_","_COL6","_COL7","_COL8","_COL9","_COL10","_COL11","_COL12","_COL13","_COL14","_COL15","_COL16","_COL17","_COL18","_COL19","_COL20","_COL21","_COL22","_COL23","_COL24","Avg_SD_","_COL26","_COL27","_COL28","_COL29","_COL30","_COL31","_COL32"
-6.5,-7,0.025202724182384,25202.724182384,176419.06927669,0,0,0,0.0089959869548257,0.0007,0.0002,1.0184395069484,0.10113579127721,0.016285838635088,1.0503292266344,0.21214368965325,0.030844203994917,1.6868862677492,0.24688274964948,0.039284038126154,0.042979240533315,0.077283022164885,0.016496540088886,50.138497329528,5.24216,0,0.0062982248910173,2.5409181016686,8.9432327374187,286.51478182189,0.070273624323525,0.026076979285128
-6,-6.5,0.26763520094709,267635.20094709,1739628.8061561,0.00082470432957709,5.576041241903e-005,3.2189550025683e-006,0.0098980256585917,0.00083111273340178,0.0002,1.1972463253083,0.11840192382631,0.019126453053609,1.2747701146493,0.25605186628541,0.037196645495866,1.7334932151565,0.25227542707804,0.040363621096548,0.044374768190158,0.077705087320497,0.016554987813861,57.672016811095,5.33534,0.0010013449577226,0.0081946087081138,3.4369779818672,11.23826825956,279.39349907622,0.072675182748129,0.026613388349164
-5.5,-6,0.42197594329164,421975.94329164,2531855.6597498,0.0015927413390298,0.00011116180266598,1.92035463707e-005,0.010742732557325,0.00089532142524406,0.00020424577929844,1.3321107400166,0.13147149187781,0.021264416607069,1.5437151527403,0.31017959495233,0.044492277916522,1.8293201284568,0.26529607524952,0.041598722775663,0.046814373680564,0.080018693193875,0.016780468778665,62.057631743602,5.0616727272727,0.0019890220257302,0.0093741891674051,4.0019099102196,13.190184888335,284.64791658142,0.07171555498427,0.026085854498015
-5,-5.5,0.40397071235248,403970.71235248,2221838.9179386,0.0027600431019988,0.00019427302222354,2.1297843625618e-005,0.053753307717507,0.0044526893134919,0.0010183121868455,1.5650662613912,0.15433044163321,0.024943287011372,1.8173342240987,0.36482323115229,0.051597138262617,1.9307955474499,0.27573947203613,0.04229063797875,0.048510182916349,0.082556243495338,0.016922028793659,68.283635472149,4.9346545454545,0.0034413434061438,0.047508228385682,5.0352414701213,15.823796966024,286.16004124044,0.073197880204752,0.0263972155089
-4.5,-5,0.65473241255031,654732.41255031,3273662.0627516,0.0048133941194791,0.00035552818072536,3.9857618744563e-005,0.19986779843518,0.010839004807458,0.0013504840439308,1.858037612643,0.18302094253753,0.029633469794234,2.0208400723081,0.40543607510823,0.056198564025437,2.2529637249392,0.29791410630713,0.045009575555657,0.053752704946399,0.087614718054344,0.017313823468715,74.123642633234,4.61548125,0.005225943652809,0.024844449243677,6.2463746409803,18.474007633267,292.09133269192,0.074840929548324,0.026938724215651
-4,-4.5,0.613402628199,613402.628199,2760311.8268955,0.0057418456357568,0.00040361340203858,4.3833888796938e-005,0.34061125554301,0.018184782197025,0.0021827958141577,2.2403392130348,0.22100466431962,0.035739504543179,2.2421931821537,0.44995137020496,0.064541939258112,2.4833577739013,0.32794023451615,0.048715437298345,0.060001188546004,0.095275583237545,0.017772986753263,79.877387385725,4.350053125,0.0061707606614469,0.038103133550257,7.861049929228,21.381453201982,299.00656540291,0.07713812973855,0.027904532868868
-3.5,-4,0.76130267728285,761302.67728285,3045210.7091314,0.007551475777456,0.00052459717109606,6.4197193287105e-005,0.48387969004014,0.024710402591008,0.0026335473862301,2.9919048144479,0.29311675216691,0.047678534029544,2.5950866982689,0.52199774144594,0.076437825446811,2.588708360102,0.34570939491126,0.050047984962048,0.064857929931944,0.10065220205514,0.017782191639676,93.873423634505,4.1799953488372,0.0082645695188203,0.019246220683152,11.268938852745,26.403955171636,287.78146385724,0.077963536633351,0.027274314143288
-3,-3.5,0.60966656754721,609666.56754721,2133832.9864152,0.010013102406993,0.0007005438296629,0.00011109715572087,1.3507426773023,0.068363913965032,0.0071091402418083,4.3951281346314,0.4269932792782,0.070089214552777,3.0105929523447,0.6042140819881,0.088952146099314,2.7208201000042,0.37395314921343,0.051834067460671,0.072171944715218,0.10785040390582,0.017912355069339,112.92359473869,3.9891054054054,0.011520856736418,0.035935104276293,17.555101728793,33.092880929705,271.84410890356,0.076980506475342,0.025931671848426
-2.5,-3,0.5179013675615,517901.3675615,1553704.1026845,0.012410099753155,0.00087172522074103,0.00014162000554846,1.1501688504117,0.058417481027913,0.006131000788366,5.9425703735384,0.5586073405079,0.09460683740182,3.3327995003762,0.66294749708702,0.096235618258629,2.6621732653614,0.3667481112282,0.050474806769306,0.074270938150512,0.10653820497397,0.017431301504315,145.1168517663,4.1172515151515,0.018081285928123,0.043248867039706,25.570318343695,41.283356178718,236.27720861055,0.076770089440756,0.024310051777426
-2,-2.5,0.54542900538697,545429.00538697,1363572.5134674,0.0070064449454018,0.00048336671641221,5.1490681747167e-005,1.317619028239,0.067745235747628,0.0073814120933382,6.7977968255209,0.63111656217394,0.10781199900056,3.5960748236825,0.70013181877511,0.10204906181896,2.9855846256764,0.40823302560775,0.054152373902775,0.09017579441597,0.120685344719,0.017768428103238,165.08580747107,3.7818310344828,0.016154112011063,0.091284438590013,29.310835609473,48.456882147993,220.03451875908,0.081829173238051,0.023630715586947
